240201,23744.3
240202,5300
240204,1494.7
240205,2232
240301,1183.6
240302,2539
240303,9829
240304,809.5
240305,164
240307,1808.9
240309,601.8
240311,1323
240312,544.6
240313,40
240314,33.5
240315,178.7
240316,590.9
240318,540
240319,135
240320,51.4
240321,65.6
240322,1050
240323,168.5
240324,950
240326,10.3
240327,50
000001,750
000003,159.4
240401,44
240402,35.4
240403,125.6
240404,41.8
240405,43.4
240406,35.5
240407,21.35
240501,2572.6
240502,458.95
240503,38.1
240504,442
240505,390.93
240506,467
240507,59.5
240508,17
240509,1.4
240510,31.3
240511,12.6
240512,24
240515,3
240516,1.15
240517,1
240518,24.6
240602,1232.45
240604,62.1
000000,1000000
260201,1146.26
260101,1748.65
260102,1086.92
260103,1782.86
260104,1861.85
260105,1174.33
260106,839.6
260107,1899.79
260108,540.66
260109,570.97
260110,953.47
260111,1541.2
260301,1437.06
260302,968.79
260303,618.88
260304,667.84
260401,38315
260402,57551
260403,34383
260404,30664
260405,17266
260406,8321
260407,42280
260408,13018
260409,15579
260410,13896
260411,19808
260601,42546
260602,7160
260603,13729
260604,12598
260701,2121
260702,1441
260703,292
260704,1357
260801,295
260802,7016
260803,1034
260804,7121
260805,65
260901,2207
260902,1230
260903,727
260904,2994
260905,184
260906,149
260907,192
261001,2670
261002,13
261003,59943
261004,56971
261005,49050
261101,11299
261102,641
261103,2600
261104,115
261201,10852
261202,3298
261301,396
261302,4149
261303,1334
261401,40
261501,1030.5
261601,2281
250101,1309
250102,1227
250103,3109
250104,1442
250105,557
250106,3460
250107,1025
250108,63
250109,2030
250110,1097
250111,2341
250113,10261
250114,135
250201,13145
250202,17104
250203,20150
250301,557
250302,94
250303,1148
250304,589
250305,908
250306,325
250307,583
250308,1114
250310,155
250311,608
250312,687
250313,50
250314,569
250315,513
251001,460
251002,315
251003,412
251004,234
251005,441
251006,395
251101,851
250901,13866
250902,600
250903,630
250904,108
250905,24432
250906,2000
250907,5950
250908,40000
250909,5000
250401,313
250402,438
250403,539
250404,285
250405,54
250406,145
250407,183
250408,431
250501,520
250502,389
250503,379
250504,425
250505,236
250506,432
250507,220
250508,702
250509,1004
250601,1182
250602,1163
250603,609
250604,179
250605,360
250701,231
250702,253
250801,510
250802,946
250803,521